,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.007977485656738281,0,454,0
1,6,0.006980419158935547,0,454,0
2,6,0.007978439331054688,0,454,0
3,6,0.00797891616821289,0,454,0
4,6,0.0069806575775146484,0,454,0
5,6,0.006980419158935547,0,454,0
6,4,0.0069806575775146484,0,452,0
7,4,0.007977962493896484,0,452,0
8,4,0.005984067916870117,0,452,0
9,4,0.006980419158935547,0,452,0
10,6,0.006980419158935547,0,454,0
11,6,0.007977724075317383,0,454,0
12,4,0.0069806575775146484,0,452,0
13,6,0.007977724075317383,0,454,0
14,6,0.0059833526611328125,0,454,0
15,4,0.007977962493896484,0,452,0
16,4,0.005983114242553711,0,452,0
17,4,0.007977724075317383,0,452,0
18,4,0.00698089599609375,0,452,0
19,6,0.0069806575775146484,0,454,0
